ID	Name	Designator	Footprint	Quantity
"1"	"1uF"	"C1"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"1"
"2"	"10nF"	"C2"	"CAP-TH_L8.0-W4.0-P5.00-D1.2"	"1"
"3"	"PZ254V-11-02P"	"H1"	"HDR-TH_2P-P2.54-V-M"	"1"
"4"	"XL-502UWC"	"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10"	"LED-TH_BD5.9-P2.54-RD_WHITE"	"10"
"5"	"Header-Male-2.54_1x1"	"P1"	"HDR-TH_1P-P2.54-V-M"	"1"
"6"	"1kΩ"	"R1"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"1"
"7"	"470Ω"	"R2"	"RES-TH_BD2.2-L6.5-P10.50-D0.6"	"1"
"8"	"50kΩ"	"R3"	"RES-ADJ-TH_3P-L9.5-W4.85-P2.50-BL-L"	"1"
"9"	"CD4017BCN"	"U1"	"DIP16"	"1"
"10"	"100kHz"	"U2"	"DIP-8_L9.8-W6.6-P2.54-LS7.6-BL"	"1"
